Time,Speed
1,2.55840992
2,2.04252576
3,3.56380288
4,1.18823232
5,3.8311328
6,6.0395104
7,5.4941216
8,5.3555392
9,7.219696
10,7.0677024
11,7.331456
12,7.309104
13,6.459728
14,7.1705216
15,7.2956928
16,6.2987936
17,2.30046784
18,3.14224416
19,1.80335936
20,1.26601728
21,1.44080992
22,1.9490944
23,2.3648416
24,2.8655264
25,3.22449952
26,2.68134592
27,2.86820864
28,2.92230048
29,1.99335136
30,2.08186528
31,2.34204256
32,2.18870784
33,1.02506272
34,1.84001664
35,3.13464448
36,3.07071776
37,2.51638816
38,1.25975872
39,1.56732224
40,1.94104768
41,2.80025856
42,3.19365376
43,3.19454784
44,1.92584832
45,1.363472
46,3.28619104
47,2.33936032
48,3.21153536
49,1.76759616
50,1.49445472
51,1.89142624
52,3.084576
53,1.46584416
54,1.2494768
55,1.67237664
56,2.50878848
57,1.98351648
58,1.96652896
59,3.04791872
60,2.06130144
61,2.10511136
62,1.50518368
63,2.71219168
64,1.94775328
65,1.27272288
66,2.1323808
67,5.7399936
68,6.4418464
69,7.778496
70,7.9081376
71,7.9260192
72,8.6189312
73,7.4923904
74,5.1767232
75,5.5120032
76,3.7014912
77,1.99692768
78,2.94286432
79,2.97907456
80,1.90349632
81,3.20617088
82,5.5924704
83,5.7087008
84,6.1870336
85,5.0694336
86,4.2155872
87,4.2602912
88,2.89190176
89,3.956304
90,3.6389056
91,3.33894176
92,2.35232448
93,2.15339168
94,1.31295648
95,1.5445232
96,0.9030208
97,1.0103104
98,0.26330656
99,0.18865088
100,0.49532032
101,0.10103104
102,0.61959744
103,2.82216352
104,3.7819584
105,3.2835088
106,2.99606208
107,2.85926784
108,3.5740848
109,2.50744736
110,1.67774112
111,1.65985952
112,1.54049984
113,2.35232448
114,2.56735072
115,2.07158336
116,2.01793856
117,2.14221568
118,2.31879648
119,1.89634368
120,2.5637744
121,2.93347648
122,3.21734688
123,2.65452352
124,2.55528064
125,2.36126528
126,3.8266624
127,3.8356032
128,3.822192
129,3.6165536
130,1.96116448
131,2.66569952
132,1.17213888
133,1.69383456
134,1.83375808
135,2.939288
136,1.84404
137,1.06976672
138,1.59235648
139,2.0161504
140,2.26917504
141,1.9088608
142,2.71397984
143,3.6299648
144,3.7059616
145,3.2656272
146,2.37244128
147,1.7300448
148,1.12922304
149,1.29820416
150,2.96566336
151,4.1708832
152,4.1753536
153,3.9428928
154,3.8043104
155,2.79444704
156,2.52085856
157,4.9263808
158,5.4672992
159,4.2960544
160,4.5776896
161,4.2424096
162,3.6612576
163,3.9294816
164,4.0635936
165,4.1530016
166,3.48780608
167,3.084576
168,3.27143872
169,3.6031424
170,4.4122848
171,4.291584
172,4.7028608
173,4.0188896
174,3.38141056
175,3.6031424
176,3.7372544
177,2.7425904
178,3.26607424
179,2.30806752
180,1.56866336
181,1.32860288
182,1.47433792
183,2.54276352
184,2.23207072
185,1.33352032
186,1.1019536
187,0.55298848
188,1.02774496
189,1.09345984
190,0.74610976
191,0.5945632
192,1.52172416
193,1.95624704
194,1.62677856
195,1.38180064
196,1.2718288
197,1.00986336
198,0.8426704
199,0.94817184
200,1.15604544
201,0.86099904
202,0.8985504
203,1.77743104
204,1.77117248
205,2.44262656
206,2.97192192
207,3.8132512
208,4.2424096
209,4.91744
210,3.23612256
211,2.49090688
212,2.82484576
213,2.09125312
214,1.64868352
215,1.40951712
216,0.93699584
217,1.07244896
218,2.36886496
219,2.26828096
220,2.25442272
221,2.55349248
222,1.90304928
223,2.06934816
224,6.7145408
225,8.2523584
226,8.449056
227,6.571488
228,6.4507872
229,7.7293216
230,8.6546944
231,7.7829664
232,5.8651648
233,5.6818784
234,6.4194944
235,6.4552576
236,6.0082176
237,8.9408
238,8.069072
239,6.459728
240,3.9250112
241,3.44489024
242,3.54458016
243,5.6461152
244,5.967984
245,6.5536064
246,5.5924704
247,3.9697152
248,4.0278304
249,5.2571904
